#run-time information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	date run: 	Mon Mar 25 15:22:00 CDT 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct directory: 	/usr/local/slingshot_tools_26Jul2022_rev2/sct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct timestamp: 	2023-10-26 14:35:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	'non-standard' SCT args: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	ls config file:	-rwxr-xr-x 1 tuminell employee 17862 Mar 25 15:21 /var/users/systems/eni_revc/eni_revc.yaml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable_id,src_conn_a,src_conn_b,dst_conn_a,dst_conn_b,stage,src_egress_a,src_egress_b,dst_egress_a,dst_egress_b,link_type,src_group,dst_group,part_number,part_length,calculated_distance,route,,,,,,,,,,,,,
3000.3001.00.0004,x3000.c0.r48.j27,none,x3001.c0.r48.j30,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3185801,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3001.00.0005,x3000.c0.r48.j28,none,x3001.c0.r48.j29,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3221566,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3001.00.0006,x3000.c0.r48.j29,none,x3001.c0.r47.j32,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3605759,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3000.00.0000,x3000.c0.r47.j29,none,x3000.c0.r48.j32,none,1,none,none,none,none,local,0,0,R4K59A,0.75,0.7096859,[],,,,,,,,,,,,,
3000.3000.00.0001,x3000.c0.r47.j30,none,x3000.c0.r48.j31,none,1,none,none,none,none,local,0,0,R4K59A,0.75,0.7283089,[],,,,,,,,,,,,,
3000.3000.00.0002,x3000.c0.r47.j14,none,x3000.c0.s17.b0.n0.h0,x3000.c0.s15.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6P07A,3,2.5095048,[],,,,,,,,,,,,,
3000.3000.00.0003,x3000.c0.r48.j16,none,x3000.c0.s19.b0.n0.h0,x3000.c0.s17.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.4795889,[],,,,,,,,,,,,,
3000.3000.00.0004,x3000.c0.r47.j12,none,x3000.c0.s21.b0.n0.h0,x3000.c0.s19.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.3055922,[],,,,,,,,,,,,,
3000.3000.00.0005,x3000.c0.r48.j20,none,x3000.c0.s23.b0.n0.h0,x3000.c0.s21.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.2526216,[],,,,,,,,,,,,,
3000.3000.00.0006,x3000.c0.r47.j10,none,x3000.c0.s25.b0.n0.h0,x3000.c0.s23.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R4K57A,2.5,2.1047696,[],,,,,,,,,,,,,
3000.3000.00.0007,x3000.c0.r48.j24,none,x3000.c0.s3.b0.n0.h0,x3000.c0.s1.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,3.0926067,[],,,,,,,,,,,,,
3000.3000.00.0008,x3000.c0.r47.j24,none,x3000.c0.s25.b0.n0.h1,x3000.c0.s1.b0.n0.h0,1,none,none,none,none,edge,0,n/a,R6F19A,4,3.0481567,[],,,,,,,,,,,,,
3000.3000.00.0009,x3000.c0.r47.j22,none,x3000.c0.s5.b0.n0.h0,x3000.c0.s3.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.9822086,[],,,,,,,,,,,,,
3000.3000.00.0010,x3000.c0.r48.j10,none,x3000.c0.s7.b0.n0.h0,x3000.c0.s5.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.9493191,[],,,,,,,,,,,,,
3000.3000.00.0011,x3000.c0.r47.j18,none,x3000.c0.s9.b0.n0.h0,x3000.c0.s7.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.8535122,[],,,,,,,,,,,,,
3000.3000.00.0012,x3000.c0.r48.j12,none,x3000.c0.s11.b0.n0.h0,x3000.c0.s9.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.7945419,[],,,,,,,,,,,,,
3000.3000.00.0013,x3000.c0.r47.j20,none,x3000.c0.s13.b0.n0.h0,x3000.c0.s11.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.6526714,[],,,,,,,,,,,,,
3000.3000.00.0014,x3000.c0.r48.j14,none,x3000.c0.s15.b0.n0.h0,x3000.c0.s13.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6F19A,4,2.6428547,[],,,,,,,,,,,,,
3000.3001.01.0000,x3000.c0.r48.j30,none,x3001.c0.r47.j31,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3664422,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3001.3001.00.0000,x3001.c0.r47.j29,none,x3001.c0.r48.j32,none,1,none,none,none,none,local,0,0,R4K59A,0.75,0.7096859,[],,,,,,,,,,,,,
3001.3001.00.0001,x3001.c0.r47.j30,none,x3001.c0.r48.j31,none,1,none,none,none,none,local,0,0,R4K59A,0.75,0.7283089,[],,,,,,,,,,,,,
3001.3001.00.0002,x3001.c0.r47.j14,none,x3001.c0.s17.b0.n0.h0,x3001.c0.s15.b0.n0.h1,1,none,none,none,none,edge,0,n/a,R6P07A,3,2.5095048,[],,,,,,,,,,,,,
